Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
ND-043,Kidder County,16.94,60,-0.24,17.18
ND-045,LaMoure County,23.12,100,3.46,19.66
ND-047,Logan County,18.69,71,0.74,17.95
ND-049,McHenry County,15.6,51,-0.74,16.34
ND-051,McIntosh County,19.4,77,1.23,18.17
ND-053,McKenzie County,18.11,102,2.89,15.22
ND-055,McLean County,17.18,74,0.9,16.28
ND-057,Mercer County,16.47,71,0.25,16.22
ND-059,Morton County,17.25,71,0.69,16.56
ND-061,Mountrail County,19.03,104,3.06,15.97
ND-063,Nelson County,22.56,106,3.95,18.61
ND-065,Oliver County,17.34,71,0.6,16.74
ND-067,Pembina County,25.8,121,6.53,19.27
ND-069,Pierce County,15.13,36,-1.54,16.67
ND-071,Ramsey County,19.72,91,2.29,17.43
ND-073,Ransom County,22.64,88,2.19,20.45
ND-075,Renville County,17.14,79,1.04,16.1
ND-077,Richland County,21.26,60,0.1,21.16
ND-079,Rolette County,17.18,61,-0.41,17.59
ND-081,Sargent County,21.07,66,0.51,20.56
ND-083,Sheridan County,16.05,41,-1.25,17.3
ND-085,Sioux County,15.97,49,-0.86,16.83
ND-087,Slope County,15.79,74,0.39,15.4
ND-089,Stark County,18.03,88,1.56,16.47
ND-091,Steele County,22.85,103,3.63,19.22
ND-093,Stutsman County,19.16,75,0.69,18.47
ND-095,Towner County,17.89,72,0.06,17.83
ND-097,Traill County,23.13,99,3.27,19.86
ND-099,Walsh County,24.48,119,5.87,18.61
ND-101,Ward County,16.94,70,0.5,16.44
ND-103,Wells County,14.99,25,-2.82,17.81
ND-105,Williams County,17.16,99,2.39,14.77
OH-001,Adams County,49.81,104,6.97,42.84
OH-003,Allen County,37.7,85,2.5,35.2
OH-005,Ashland County,41.81,105,4.68,37.13
OH-007,Ashtabula County,41.87,82,2.33,39.54
OH-009,Athens County,44.6,98,4.53,40.07
OH-011,Auglaize County,36.7,68,0.69,36.01
OH-013,Belmont County,49.22,119,8.44,40.78
OH-015,Brown County,49.73,100,6.37,43.36
OH-017,Butler County,44.64,92,4.09,40.55
OH-019,Carroll County,47.33,122,8.58,38.75
OH-021,Champaign County,45.76,114,7.9,37.86
OH-023,Clark County,46.92,116,8.31,38.61
OH-025,Clermont County,47.74,98,4.99,42.75
OH-027,Clinton County,45.39,86,3.27,42.12
OH-029,Columbiana County,46.23,120,8.36,37.87
OH-031,Coshocton County,44.41,106,5.64,38.77
OH-033,Crawford County,39.32,80,1.85,37.47
OH-035,Cuyahoga County,40.75,102,4.95,35.8
OH-037,Darke County,37.3,57,-0.56,37.86
OH-039,Defiance County,35.17,73,1.44,33.73
