Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
SC-085,Sumter County,64.7,119,1.7,63
SC-087,Union County,62.3,118,1.7,60.6
SC-089,Williamsburg County,65.3,119,1.8,63.5
SC-091,York County,61.6,117,1.6,60
SD-003,Aurora County,46.2,74,0.5,45.7
SD-005,Beadle County,44.7,71,0.2,44.5
SD-007,Bennett County,47.3,93,1.2,46.1
SD-009,Bon Homme County,48,78,0.7,47.3
SD-011,Brookings County,43,70,0.2,42.8
SD-013,Brown County,42.3,69,0.2,42.1
SD-015,Brule County,47,84,0.9,46.1
SD-017,Buffalo County,45.7,77,0.5,45.2
SD-019,Butte County,45.8,91,1.3,44.5
SD-021,Campbell County,42.3,62,-0.3,42.6
SD-023,Charles Mix County,48.1,77,0.7,47.4
SD-025,Clark County,42.6,73,0.4,42.2
SD-027,Clay County,47.6,82,0.6,47
SD-029,Codington County,41.9,81,0.7,41.2
SD-031,Corson County,43,63,-0.1,43.1
SD-033,Custer County,45.7,87,0.9,44.8
SD-035,Davison County,45.7,52,-0.4,46.1
SD-037,Day County,41.3,67,0.1,41.2
SD-039,Deuel County,42.5,81,0.6,41.9
SD-041,Dewey County,44.8,79,0.6,44.2
SD-043,Douglas County,47,72,0.4,46.6
SD-045,Edmunds County,42.5,66,0,42.5
SD-047,Fall River County,47.4,85,0.9,46.5
SD-049,Faulk County,43.4,74,0.3,43.1
SD-051,Grant County,42.9,83,0.8,42.1
SD-053,Gregory County,48,87,1,47
SD-055,Haakon County,46.6,80,0.6,46
SD-057,Hamlin County,42.5,82,0.7,41.8
SD-059,Hand County,44.5,75,0.4,44.1
SD-061,Hanson County,45.5,51,-0.5,46
SD-063,Harding County,44.3,99,1.6,42.7
SD-065,Hughes County,46,79,0.6,45.4
SD-067,Hutchinson County,46.9,77,0.5,46.4
SD-069,Hyde County,44.4,81,0.6,43.8
SD-071,Jackson County,47.7,81,0.8,46.9
SD-073,Jerauld County,45,71,0.1,44.9
SD-075,Jones County,47,74,0.4,46.6
SD-077,Kingsbury County,43.3,70,0.1,43.2
SD-079,Lake County,44.2,71,0.3,43.9
SD-081,Lawrence County,42.7,77,0.4,42.3
SD-083,Lincoln County,46.3,80,0.6,45.7
SD-085,Lyman County,47.1,77,0.6,46.5
SD-087,McCook County,45.6,74,0.5,45.1
SD-089,McPherson County,41,53,-0.5,41.5
SD-091,Marshall County,40.7,54,-0.4,41.1
SD-093,Meade County,46.3,85,1.1,45.2
SD-095,Mellette County,47.9,79,0.7,47.2
SD-097,Miner County,44.5,61,-0.1,44.6
SD-099,Minnehaha County,46,102,1.4,44.6
SD-101,Moody County,44.3,82,0.5,43.8
SD-102,Oglala Lakota County,48,94,1.3,46.7
SD-103,Pennington County,45.9,86,1,44.9
SD-105,Perkins County,44,85,1.2,42.8
SD-107,Potter County,43.4,71,0.4,43
SD-109,Roberts County,42.5,75,0.6,41.9
SD-111,Sanborn County,45.1,51,-0.4,45.5
SD-115,Spink County,44,75,0.5,43.5
SD-117,Stanley County,46.3,73,0.4,45.9
SD-119,Sully County,45,80,0.6,44.4
SD-121,Todd County,47.5,83,0.9,46.6
SD-123,Tripp County,48,89,1.1,46.9
SD-125,Turner County,46.8,86,0.9,45.9
SD-127,Union County,47.5,83,0.5,47
SD-129,Walworth County,43,71,0.2,42.8
SD-135,Yankton County,47.9,91,1.1,46.8
SD-137,Ziebach County,45.5,83,1,44.5
TN-001,Anderson County,58.1,109,1.4,56.7
TN-003,Bedford County,60.2,119,1.8,58.4
TN-005,Benton County,60.4,117,2,58.4
TN-007,Bledsoe County,58,116,1.7,56.3
TN-009,Blount County,59,112,1.6,57.4
TN-011,Bradley County,60.6,111,1.6,59
TN-013,Campbell County,56,93,0.9,55.1
TN-015,Cannon County,59.2,115,1.7,57.5
TN-017,Carroll County,60.1,115,1.6,58.5
TN-019,Carter County,54.7,116,1.9,52.8
TN-021,Cheatham County,60.2,121,2.3,57.9
TN-023,Chester County,60.7,114,1.6,59.1
TN-025,Claiborne County,56.4,97,0.9,55.5
TN-027,Clay County,58.9,117,1.8,57.1
TN-029,Cocke County,58.5,116,1.8,56.7
TN-031,Coffee County,59.3,119,1.9,57.4
TN-033,Crockett County,60.8,116,1.8,59
TN-035,Cumberland County,56.1,105,1.3,54.8
TN-037,Davidson County,60.8,124,2.4,58.4
TN-039,Decatur County,60.8,117,1.7,59.1
TN-041,DeKalb County,59.2,114,1.6,57.6
TN-043,Dickson County,59.9,123,2.5,57.4
TN-045,Dyer County,60.7,117,1.7,59
TN-047,Fayette County,61.7,114,1.6,60.1
TN-049,Fentress County,56.1,110,1.5,54.6
TN-051,Franklin County,59.9,120,2,57.9
TN-053,Gibson County,60.3,115,1.6,58.7
TN-055,Giles County,59.1,85,0.6,58.5
TN-057,Grainger County,58.1,114,1.6,56.5
TN-059,Greene County,58.1,112,1.5,56.6
TN-061,Grundy County,57.3,112,1.6,55.7
TN-063,Hamblen County,58.9,115,1.7,57.2
